Jan 1, 2014|Wednesday|356|316|242|161|84|147|245|254|306|474|547|793|887|867|898|906|896|837|766|659|484|394|307|186|12012|40|North
Jan 2, 2014|Thursday|127|90|76|69|132|714|1806|2522|1836|1162|1030|1114|1194|1150|1325|1476|1651|1653|1250|733|599|586|417|244|22956|40|North
Jan 3, 2014|Friday|171|120|75|83|168|690|1748|2497|1897|1190|1129|1208|1292|1302|1360|1498|1541|1609|1242|869|683|606|520|250|23748|40|North
Jan 4, 2014|Saturday|203|121|112|78|99|211|495|571|714|926|1023|1260|1325|1269|1217|1393|1353|1351|1099|697|586|566|543|364|17576|40|North
Jan 5, 2014|Sunday|244|165|141|69|52|122|337|340|431|620|780|875|984|911|905|898|825|713|677|552|439|379|301|179|11939|40|North
Jan 6, 2014|Monday|108|70|58|70|164|579|1415|1928|1357|844|682|717|797|906|945|1093|1154|1075|805|519|486|413|330|218|16733|40|North
Jan 7, 2014|Tuesday|134|88|72|78|149|674|1667|2347|1728|1097|948|926|1035|1087|1153|1292|1448|1490|1159|750|573|582|369|224|21070|40|North
Jan 8, 2014|Wednesday|131|134|80|75|166|768|1973|2951|2207|1226|968|1004|1128|1069|1343|1482|1587|1622|1215|787|653|543|383|252|23747|40|North
Jan 9, 2014|Thursday|156|117|75|91|191|751|2014|2981|2174|1345|1038|1074|1271|1238|1384|1582|1689|1867|1303|856|709|639|520|242|25307|40|North
Jan 10, 2014|Friday|154|130|99|90|171|710|1902|2774|2042|1255|1163|1246|1242|1235|1478|1671|1752|1842|1381|912|690|714|578|389|25620|40|North
Jan 11, 2014|Saturday|268|196|131|85|121|227|563|619|848|849|958|1063|1072|1100|1149|1070|1141|1197|1069|747|602|605|537|362|16579|40|North
Jan 12, 2014|Sunday|242|169|119|87|76|156|346|402|582|831|1009|1071|1282|1199|1161|1194|1132|1096|913|763|533|479|340|190|15372|40|North
Jan 13, 2014|Monday|138|79|75|74|173|756|2010|2895|2057|1310|1107|1126|1213|1211|1383|1635|1631|1753|1198|787|650|541|398|230|24430|40|North
Jan 14, 2014|Tuesday|121|105|69|78|171|701|1756|2194|1821|1218|891|813|966|963|1155|1350|1590|1778|1291|791|661|603|400|237|21723|40|North
Jan 15, 2014|Wednesday|136|112|70|89|191|768|2076|2926|2062|1251|1075|1109|1165|1191|1328|1596|1688|1713|1255|830|658|589|428|255|24561|40|North
Jan 16, 2014|Thursday|139|100|79|87|164|742|2004|2336|2045|1402|972|1001|1166|1120|1360|1563|1674|1963|1289|808|708|636|442|240|24040|40|North
Jan 17, 2014|Friday|157|132|84|96|202|709|1881|2795|1963|1303|1187|1269|1346|1364|1593|1816|1886|2090|1675|1120|700|719|639|384|27110|40|North
Jan 18, 2014|Saturday|256|156|135|40|48|101|154|335|593|625|775|881|1004|1013|1098|1272|1349|1285|1143|872|654|589|569|364|15311|40|North
Jan 19, 2014|Sunday|286|175|123|75|72|125|336|357|571|891|1063|1033|1326|1250|1212|1128|1145|1134|953|677|532|608|374|220|15666|40|North
Jan 20, 2014|Monday|139|98|63|82|182|605|1535|1810|1393|1105|1031|986|1142|1214|1340|1435|1450|1644|1085|760|633|545|367|218|20862|40|North
Jan 21, 2014|Tuesday|129|85|70|74|171|761|2057|3021|1986|1218|1110|1079|1174|1182|1333|1521|1626|1658|1143|747|742|588|387|213|24075|40|North
Jan 22, 2014|Wednesday|127|113|82|86|190|774|1956|2581|2228|1227|1002|999|1124|1044|1263|1493|1514|1711|1207|859|663|561|428|230|23462|40|North
