Jan 1, 2011|Saturday|58|68|63|51|43|39|65|112|176|293|534|756|862|925|799|714|617|614|477|456|381|330|300|173|8906|200|North
Jan 2, 2011|Sunday|106|65|63|36|47|57|142|201|338|624|1186|1426|1314|1224|1163|1210|1146|1010|864|654|564|443|293|188|14364|200|North
Jan 3, 2011|Monday|134|112|75|90|144|233|612|930|802|811|964|919|916|933|995|1057|1137|996|761|754|493|395|272|227|14762|200|North
Jan 4, 2011|Tuesday|146|128|103|97|165|263|588|957|758|828|910|916|930|917|1046|1163|1339|1118|822|793|538|511|329|227|15592|200|North
Jan 5, 2011|Wednesday|308|226|200|107|157|260|622|959|757|912|869|892|934|926|1030|1239|1378|1216|915|715|552|467|405|238|16284|200|North
Jan 6, 2011|Thursday|144|107|109|113|145|261|614|973|800|946|931|1057|995|1092|1156|1367|1474|1323|1047|741|679|506|407|276|17263|200|North
Jan 7, 2011|Friday|162|125|134|104|164|251|600|943|835|979|1054|1113|1206|1314|1494|1673|1804|1698|1556|1108|766|542|473|277|20375|200|North
Jan 8, 2011|Saturday|197|117|84|93|81|117|350|564|853|1127|1455|1437|1314|1306|1211|1196|1159|1127|939|697|678|594|435|316|17447|200|North
Jan 9, 2011|Sunday|190|118|76|50|51|63|181|240|389|632|962|1301|1341|1481|1537|1583|1586|1383|1184|945|903|524|323|213|17256|200|North
Jan 10, 2011|Monday|143|94|70|108|160|291|746|1072|885|836|889|1005|976|864|858|846|860|1112|721|733|520|375|304|210|14678|200|North
Jan 11, 2011|Tuesday|143|108|101|95|132|237|497|826|727|618|731|985|866|819|971|1030|1267|983|811|714|496|426|388|213|14184|200|North
Jan 12, 2011|Wednesday|160|105|75|89|151|255|638|1036|907|962|1009|903|891|950|1111|1197|1216|1130|963|781|583|474|353|308|16247|200|North
Jan 13, 2011|Thursday|179|128|97|102|153|268|614|1062|903|875|904|905|907|930|1078|1180|1408|1189|1003|803|665|552|429|267|16601|200|North
Jan 14, 2011|Friday|185|130|112|122|165|244|637|892|934|1052|1193|1198|1285|1492|1432|1395|1176|948|1164|853|1168|433|451|440|19101|200|North
Jan 15, 2011|Saturday|208|158|103|68|80|146|211|521|581|1137|1277|1389|1326|1279|1206|1189|1067|1102|891|698|617|532|448|309|16543|200|North
Jan 16, 2011|Sunday|180|119|98|52|40|53|127|207|361|704|918|1113|1197|1359|1341|1395|1325|1193|963|793|754|476|323|192|15283|200|North
Jan 17, 2011|Monday|120|120|73|86|116|214|495|689|750|789|929|1003|955|1044|1042|1279|1265|1188|934|681|536|442|323|234|15307|200|North
Jan 18, 2011|Tuesday|162|116|106|94|153|278|646|1093|967|969|902|912|900|841|980|1187|1290|1137|850|623|513|478|303|211|15711|200|North
Jan 19, 2011|Wednesday|140|122|112|101|148|236|609|1019|895|964|925|889|826|912|1044|1184|1269|1173|915|680|530|434|324|243|15694|200|North
Jan 20, 2011|Thursday|156|113|111|111|162|256|617|1116|961|927|1000|905|926|1030|1148|1296|1412|1263|929|777|583|489|422|249|16959|200|North
Jan 21, 2011|Friday|133|138|108|95|144|243|543|862|847|971|1064|1058|1201|1375|1515|1664|1807|1548|1383|1202|758|489|387|309|19844|200|North
Jan 22, 2011|Saturday|254|152|87|62|91|138|280|430|780|946|1096|1188|1210|1163|1183|1143|1162|1091|877|703|622|502|426|278|15864|200|North
Jan 23, 2011|Sunday|184|99|69|57|50|71|113|207|320|558|789|1087|1090|1202|1181|1160|1182|1015|1008|837|650|506|336|202|13973|200|North
Jan 24, 2011|Monday|160|90|79|69|151|269|702|1151|947|1014|969|994|895|893|933|1194|1178|1112|823|641|493|421|309|217|15704|200|North
Jan 25, 2011|Tuesday|125|125|100|103|143|284|640|1137|987|1039|887|845|852|917|951|1179|1292|1123|822|601|504|496|336|183|15671|200|North
Jan 26, 2011|Wednesday|137|102|101|96|158|302|669|1091|978|965|990|895|945|896|1151|1204|1409|1241|909|613|601|445|448|272|16618|200|North
