Jan 1, 2006|Sunday|3|3|3|1|0|1|1|1|4|12|12|11|7|8|6|7|17|10|10|25|14|13|6|4|179|8|East
Jan 2, 2006|Monday|9|3|4|0|0|3|1|4|7|18|9|10|26|14|13|17|17|19|12|9|8|10|4|3|220|8|East
Jan 3, 2006|Tuesday|0|1|0|0|0|0|5|21|31|20|10|20|24|16|20|32|31|40|40|21|17|19|10|2|380|8|East
Jan 4, 2006|Wednesday|1|1|0|0|0|1|4|15|34|8|18|22|16|13|23|37|27|25|21|6|6|6|0|0|284|8|East
Jan 5, 2006|Thursday|1|4|0|0|1|0|5|19|35|16|12|14|21|13|16|36|30|31|16|15|6|9|4|2|306|8|East
Jan 6, 2006|Friday|1|1|1|2|0|0|10|17|29|19|24|15|17|12|16|26|26|27|14|21|10|14|15|13|330|8|East
Jan 7, 2006|Saturday|3|1|2|0|0|3|1|7|4|18|19|12|12|13|22|9|12|10|10|8|13|10|4|3|196|8|East
Jan 8, 2006|Sunday|5|4|0|1|0|1|0|3|9|11|13|14|17|10|12|10|10|12|13|14|9|4|4|1|177|8|East
Jan 9, 2006|Monday|0|1|0|0|1|2|2|12|27|15|18|20|27|22|16|25|28|33|18|12|7|4|2|3|295|8|East
Jan 10, 2006|Tuesday|1|2|0|0|0|0|3|21|30|14|11|8|26|18|14|30|29|44|36|28|17|17|3|0|352|8|East
Jan 11, 2006|Wednesday|0|3|0|0|0|0|4|21|27|10|11|18|21|20|29|34|29|17|21|14|7|7|7|1|301|8|East
Jan 12, 2006|Thursday|5|1|2|0|0|2|3|20|31|22|15|9|22|12|15|40|28|29|12|10|11|4|4|2|299|8|East
Jan 13, 2006|Friday|0|0|1|0|0|2|3|14|31|17|17|15|27|15|20|38|17|21|17|11|10|6|11|8|301|8|East
Jan 14, 2006|Saturday|4|4|0|1|0|0|1|4|11|54|17|17|13|6|16|13|14|15|7|9|12|10|7|8|243|8|East
